date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,xruns_vs_actual
2026-04-13,Pittsburgh Pirates,Washington Nationals,16,5,21,Pittsburgh Pirates,Pittsburgh Pirates,75.1,24.9,True,75.1,9.25,11.75,True,UNDER
2026-04-13,Philadelphia Phillies,Chicago Cubs,13,7,20,Philadelphia Phillies,Chicago Cubs,22.4,77.6,False,77.6,8.94,11.06,False,UNDER
2026-04-13,New York Yankees,Los Angeles Angels,11,10,21,New York Yankees,New York Yankees,76.1,23.9,True,76.1,9.0,12.0,False,UNDER
2026-04-13,Atlanta Braves,Miami Marlins,4,10,14,Miami Marlins,Atlanta Braves,68.3,31.7,False,68.3,9.72,4.279999999999999,False,UNDER
2026-04-13,Minnesota Twins,Boston Red Sox,13,6,19,Minnesota Twins,Minnesota Twins,68.2,31.8,True,68.2,8.14,10.86,True,UNDER
2026-04-13,St. Louis Cardinals,Cleveland Guardians,3,9,12,Cleveland Guardians,St. Louis Cardinals,55.9,44.1,False,55.9,9.96,2.039999999999999,False,UNDER
2026-04-13,Athletics,Texas Rangers,1,8,9,Texas Rangers,Texas Rangers,40.9,59.1,True,59.1,8.21,0.7899999999999991,True,UNDER
2026-04-13,Los Angeles Dodgers,New York Mets,4,0,4,Los Angeles Dodgers,Los Angeles Dodgers,77.8,22.2,True,77.8,9.0,5.0,True,OVER
2026-04-14,Baltimore Orioles,Arizona Diamondbacks,3,4,7,Arizona Diamondbacks,Arizona Diamondbacks,49.6,50.4,True,50.4,10.99,3.99,False,OVER
2026-04-14,Detroit Tigers,Kansas City Royals,2,1,3,Detroit Tigers,Detroit Tigers,76.3,23.7,True,76.3,9.17,6.17,False,OVER
2026-04-14,Pittsburgh Pirates,Washington Nationals,4,5,9,Washington Nationals,Pittsburgh Pirates,64.5,35.5,False,64.5,9.84,0.8399999999999999,False,OVER
2026-04-14,Cincinnati Reds,San Francisco Giants,2,1,3,Cincinnati Reds,Cincinnati Reds,64.9,35.1,True,64.9,7.92,4.92,False,OVER
2026-04-14,Philadelphia Phillies,Chicago Cubs,4,10,14,Chicago Cubs,Chicago Cubs,22.7,77.3,True,77.3,9.01,4.99,True,UNDER
2026-04-14,New York Yankees,Los Angeles Angels,1,7,8,Los Angeles Angels,New York Yankees,67.9,32.1,False,67.9,8.19,0.1899999999999995,False,OVER
2026-04-14,Atlanta Braves,Miami Marlins,6,5,11,Atlanta Braves,Atlanta Braves,67.3,32.7,True,67.3,9.73,1.2699999999999996,False,UNDER
2026-04-14,Minnesota Twins,Boston Red Sox,6,0,6,Minnesota Twins,Minnesota Twins,72.0,28.0,True,72.0,8.48,2.4800000000000004,True,OVER
2026-04-14,Chicago White Sox,Tampa Bay Rays,5,8,13,Tampa Bay Rays,Tampa Bay Rays,49.8,50.2,True,50.2,10.98,2.0199999999999996,True,UNDER
2026-04-14,Milwaukee Brewers,Toronto Blue Jays,7,9,16,Toronto Blue Jays,Milwaukee Brewers,62.4,37.6,False,62.4,8.36,7.640000000000001,False,UNDER
2026-04-14,St. Louis Cardinals,Cleveland Guardians,6,5,11,St. Louis Cardinals,St. Louis Cardinals,59.6,40.4,True,59.6,9.03,1.9700000000000006,False,UNDER
2026-04-14,Houston Astros,Colorado Rockies,7,6,13,Houston Astros,Colorado Rockies,50.0,50.0,False,50.0,11.02,1.9800000000000004,False,UNDER
2026-04-14,San Diego Padres,Seattle Mariners,4,1,5,San Diego Padres,San Diego Padres,50.5,49.5,True,50.5,6.98,1.9800000000000004,True,OVER
2026-04-14,Athletics,Texas Rangers,2,1,3,Athletics,Athletics,53.9,46.1,True,53.9,8.73,5.73,False,OVER
2026-04-14,Los Angeles Dodgers,New York Mets,2,1,3,Los Angeles Dodgers,Los Angeles Dodgers,72.3,27.7,True,72.3,8.49,5.49,False,OVER
2026-04-15,Baltimore Orioles,Arizona Diamondbacks,5,8,13,Arizona Diamondbacks,Baltimore Orioles,50.5,49.5,False,50.5,11.04,1.9600000000000009,False,UNDER
2026-04-15,St. Louis Cardinals,Cleveland Guardians,5,3,8,St. Louis Cardinals,St. Louis Cardinals,50.4,49.6,True,50.4,9.43,1.4299999999999997,True,OVER
2026-04-15,Minnesota Twins,Boston Red Sox,5,9,14,Boston Red Sox,Minnesota Twins,68.9,31.1,False,68.9,8.22,5.779999999999999,False,UNDER
2026-04-15,Detroit Tigers,Kansas City Royals,2,1,3,Detroit Tigers,Detroit Tigers,77.8,22.2,True,77.8,8.99,5.99,False,OVER
2026-04-15,Pittsburgh Pirates,Washington Nationals,2,0,2,Pittsburgh Pirates,Pittsburgh Pirates,71.5,28.5,True,71.5,9.47,7.470000000000001,True,OVER
2026-04-15,Cincinnati Reds,San Francisco Giants,8,3,11,Cincinnati Reds,Cincinnati Reds,68.4,31.6,True,68.4,8.22,2.7799999999999994,True,UNDER
2026-04-15,Philadelphia Phillies,Chicago Cubs,2,11,13,Chicago Cubs,Chicago Cubs,21.7,78.3,True,78.3,8.96,4.039999999999999,True,UNDER
2026-04-15,New York Yankees,Los Angeles Angels,5,4,9,New York Yankees,New York Yankees,76.6,23.4,True,76.6,8.84,0.16000000000000014,False,UNDER
2026-04-15,Atlanta Braves,Miami Marlins,6,3,9,Atlanta Braves,Atlanta Braves,73.4,26.6,True,73.4,9.29,0.28999999999999915,True,OVER
2026-04-15,Chicago White Sox,Tampa Bay Rays,3,8,11,Tampa Bay Rays,Chicago White Sox,50.3,49.7,False,50.3,11.0,0.0,False,UNDER
2026-04-15,Milwaukee Brewers,Toronto Blue Jays,2,1,3,Milwaukee Brewers,Milwaukee Brewers,59.4,40.6,True,59.4,8.42,5.42,False,OVER
2026-04-15,Houston Astros,Colorado Rockies,3,1,4,Houston Astros,Colorado Rockies,49.7,50.3,False,50.3,10.92,6.92,False,OVER
2026-04-15,San Diego Padres,Seattle Mariners,7,6,13,San Diego Padres,San Diego Padres,50.2,49.8,True,50.2,6.98,6.02,False,UNDER
2026-04-15,Athletics,Texas Rangers,6,5,11,Athletics,Athletics,55.5,44.5,True,55.5,8.47,2.5299999999999994,False,UNDER
2026-04-15,Los Angeles Dodgers,New York Mets,8,2,10,Los Angeles Dodgers,Los Angeles Dodgers,77.5,22.5,True,77.5,8.97,1.0299999999999994,True,UNDER
2026-04-16,Pittsburgh Pirates,Washington Nationals,7,8,15,Washington Nationals,Pittsburgh Pirates,74.1,25.9,False,74.1,9.33,5.67,False,UNDER
2026-04-16,Cincinnati Reds,San Francisco Giants,0,3,3,San Francisco Giants,Cincinnati Reds,63.4,36.6,False,63.4,7.84,4.84,False,OVER
